#RA DEC XI ETA F475W F814W V VERR
11.192 41.945 0.379 0.677 25.653 20.913 -97.268 2.242 
11.24 41.806 0.416 0.538 26.007 20.806 -7.043 1.814 
11.384 41.872 0.523 0.605 23.331 20.361 -59.14 1.248 
11.187 41.866 0.376 0.598 23.028 20.156 -99.83 0.552 
11.186 41.866 0.375 0.598 23.357 19.59 -40.914 0.367 
11.275 41.811 0.442 0.543 24.489 19.71 -388.81 0.563 
11.253 41.836 0.425 0.568 24.998 20.404 3.26 1.059 
11.406 41.816 0.54 0.549 24.562 20.377 -560.059 1.763 
11.179 41.873 0.37 0.605 24.241 20.659 -93.845 0.903 
11.191 41.874 0.379 0.606 25.164 20.7 -179.489 1.615 
11.19 41.798 0.378 0.53 24.455 20.301 -55.184 0.779 
11.13 41.8 0.334 0.531 25.0 20.836 -133.849 1.131 
11.133 41.802 0.336 0.534 24.272 20.684 -165.834 1.243 
11.147 41.819 0.346 0.551 26.656 21.105 -30.054 2.122 
11.114 41.845 0.322 0.577 25.981 21.137 -64.549 3.295 
11.18 41.847 0.371 0.579 25.471 20.93 -177.264 4.558 
11.547 42.23 0.644 0.964 24.333 20.272 -78.461 0.394 
11.682 42.228 0.744 0.963 23.043 20.45 -189.151 1.526 
11.735 42.237 0.785 0.972 27.596 21.192 -57.486 1.665 
11.641 42.238 0.714 0.973 28.011 21.59 -110.127 2.034 
11.652 42.24 0.722 0.975 25.563 20.575 -110.033 1.047 
11.742 42.243 0.79 0.979 24.85 20.756 -53.39 1.785 
11.649 42.248 0.72 0.983 25.05 20.847 -47.49 1.443 
11.752 42.25 0.797 0.986 27.156 20.87 -82.012 2.502 
11.741 42.256 0.789 0.992 25.174 20.592 -169.933 1.294 
11.704 42.265 0.761 1.0 26.213 21.094 -94.803 2.336 
11.692 42.267 0.752 1.002 26.211 20.919 -287.337 1.528 
11.711 42.269 0.767 1.004 24.944 20.245 -40.531 0.392 
11.738 42.271 0.787 1.007 25.732 20.704 -54.923 0.81 
11.732 42.275 0.782 1.01 26.696 20.999 -68.238 2.359 
11.691 42.278 0.751 1.014 26.402 20.63 -120.27 1.488 
11.828 42.284 0.853 1.02 25.983 21.043 -87.983 2.618 
11.656 42.289 0.725 1.024 25.103 20.635 -41.548 1.769 
11.806 42.295 0.837 1.031 25.165 20.885 -126.784 3.059 
11.778 42.296 0.816 1.032 25.407 20.694 -96.952 2.468 
11.597 42.307 0.681 1.041 25.689 20.494 -20.945 4.729 
11.596 42.307 0.68 1.041 21.564 18.911 -89.831 0.358 
11.016 41.633 0.249 0.364 27.127 20.271 -84.249 2.233 
