#RA DEC XI ETA F475W F814W V VERR
11.445 42.012 0.569 0.745 26.407 21.105 -81.458 4.835 
11.656 41.958 0.727 0.693 25.581 20.856 -165.264 1.334 
11.678 41.972 0.743 0.707 23.85 20.17 -31.537 1.249 
11.632 41.979 0.709 0.714 26.142 21.173 -61.823 0.924 
11.673 41.989 0.74 0.724 26.378 20.893 -45.956 3.481 
11.601 41.994 0.686 0.728 24.652 20.736 -122.927 1.21 
11.57 42.001 0.662 0.736 25.246 20.901 -123.151 2.186 
11.563 42.011 0.657 0.745 25.634 20.861 -15.31 2.445 
11.614 42.027 0.695 0.761 25.659 20.733 -57.746 1.831 
11.573 42.031 0.664 0.765 23.97 20.222 -1.829 1.198 
11.58 42.032 0.669 0.766 25.805 20.822 -97.196 2.086 
11.529 42.038 0.631 0.772 24.523 20.269 -133.47 0.627 
11.467 42.046 0.585 0.78 26.855 21.253 -66.087 4.097 
11.428 42.048 0.556 0.781 26.597 20.831 -125.195 2.495 
11.512 42.05 0.619 0.783 25.438 20.715 2.245 2.669 
11.578 42.051 0.668 0.785 27.068 20.957 -175.157 1.399 
11.39 42.066 0.528 0.799 25.992 20.595 1.454 9.115 
11.431 42.074 0.558 0.807 24.056 20.457 -20.564 1.305 
11.51 42.083 0.617 0.817 25.674 20.605 -180.447 1.651 
11.386 42.085 0.525 0.818 25.935 20.695 -100.204 3.991 
11.435 42.098 0.561 0.831 24.611 20.386 -155.955 1.744 
11.494 42.099 0.605 0.833 24.974 20.806 -100.109 1.723 
11.429 42.1 0.556 0.833 25.3 20.884 -108.495 2.407 
11.453 42.108 0.574 0.842 24.947 20.645 -58.629 1.824 
11.396 42.136 0.532 0.868 23.895 20.57 -74.566 2.311 
11.015 41.108 0.249 -0.161 24.134 20.163 -367.65 4.237 
11.059 41.113 0.282 -0.156 26.031 20.236 -334.486 4.545 
11.053 41.114 0.277 -0.155 23.647 20.334 -26.365 2.996 
10.992 41.115 0.232 -0.154 26.578 20.871 -144.961 6.823 
10.998 41.118 0.236 -0.151 22.969 18.939 -33.621 2.039 
11.042 41.125 0.269 -0.144 23.061 20.293 -455.146 4.572 
10.995 41.128 0.234 -0.141 27.43 20.753 -314.351 7.241 
11.057 41.129 0.28 -0.14 24.392 20.468 -75.932 2.815 
11.086 41.135 0.302 -0.134 24.837 20.506 -298.343 6.678 
11.081 41.138 0.298 -0.13 23.392 20.457 -246.023 2.842 
11.006 41.142 0.242 -0.127 26.524 20.863 -302.624 8.276 
11.033 41.145 0.262 -0.124 24.124 20.516 -288.586 4.074 
11.098 41.151 0.311 -0.117 24.003 20.328 -173.09 4.741 
11.039 41.151 0.267 -0.117 25.824 20.219 -332.328 4.417 
11.011 41.152 0.245 -0.117 23.889 19.237 -232.948 5.398 
11.014 41.157 0.248 -0.112 24.888 20.149 -314.467 21.433 
11.092 41.159 0.306 -0.11 24.133 19.856 -297.285 2.861 
11.081 41.162 0.298 -0.106 22.572 19.857 -16.416 2.952 
11.054 41.173 0.278 -0.096 24.171 20.541 -343.471 5.347 
11.019 41.174 0.252 -0.094 23.706 20.273 25.467 2.501 
11.073 41.183 0.292 -0.086 24.692 20.457 -297.557 3.676 
11.076 41.191 0.295 -0.078 23.93 20.612 -409.901 7.851 
11.031 41.193 0.261 -0.075 24.41 19.727 -278.987 1.762 
11.033 41.196 0.262 -0.073 22.806 19.353 -105.67 11.856 
11.066 41.205 0.287 -0.064 24.66 20.328 -258.335 2.875 
11.078 41.208 0.295 -0.061 24.219 19.769 -250.611 2.06 
11.096 41.21 0.309 -0.059 24.16 20.352 -333.679 6.0 
11.109 41.21 0.319 -0.058 24.893 20.409 -363.57 1.784 
11.042 41.212 0.269 -0.056 22.687 19.666 -248.818 1.233 
11.086 41.212 0.302 -0.056 25.278 20.433 -231.648 2.289 
11.058 41.214 0.281 -0.055 24.761 20.305 -241.593 2.853 
11.048 41.215 0.273 -0.053 22.228 19.781 -298.207 1.229 
11.078 41.222 0.296 -0.047 22.654 19.778 116.947 3.858 
11.102 41.228 0.314 -0.04 23.196 20.071 -59.79 2.793 
11.11 41.229 0.32 -0.04 24.605 19.736 -319.037 2.238 
11.116 41.234 0.325 -0.034 22.877 19.965 -64.27 6.003 
11.156 41.24 0.355 -0.029 25.156 20.517 -228.994 3.23 
11.118 41.241 0.326 -0.027 24.685 19.953 -211.388 2.525 
11.101 41.243 0.313 -0.025 24.5 20.005 -299.49 3.074 
11.15 41.244 0.35 -0.025 26.591 20.707 -116.275 5.693 
11.16 41.247 0.357 -0.021 24.322 20.685 -134.516 6.375 
11.134 41.248 0.338 -0.02 24.761 20.294 -268.832 3.836 
11.161 41.249 0.358 -0.019 24.803 20.491 -180.976 5.727 
11.155 41.25 0.353 -0.018 23.542 20.19 -119.543 4.586 
11.138 41.25 0.341 -0.018 24.955 20.06 -257.395 0.597 
11.091 41.251 0.305 -0.018 25.727 20.766 -317.399 3.385 
11.114 41.251 0.323 -0.018 24.72 19.655 -286.297 2.002 
11.147 41.259 0.347 -0.009 23.228 19.965 -309.516 0.777 
11.167 41.268 0.362 -0.001 24.131 20.649 -193.178 3.967 
11.079 41.268 0.297 -0.001 24.958 20.661 -329.088 4.991 
11.107 41.269 0.317 0.0 21.993 20.161 -266.678 2.059 
11.092 41.272 0.306 0.003 22.538 19.607 -9.38 2.368 
11.092 41.273 0.306 0.004 24.44 20.494 -278.28 8.6 
11.124 41.274 0.33 0.005 24.833 20.015 -181.38 2.057 
11.123 41.275 0.33 0.007 24.052 20.512 -302.608 1.225 
11.112 41.276 0.321 0.007 23.973 19.91 -147.263 0.498 
11.186 41.279 0.377 0.01 27.333 20.499 -145.226 3.233 
11.148 41.284 0.348 0.015 24.77 20.063 -172.472 14.732 
11.171 41.284 0.365 0.016 25.043 20.218 -407.894 2.055 
11.182 41.285 0.374 0.017 23.49 19.756 -328.872 2.068 
11.167 41.293 0.362 0.025 30.705 20.938 -259.4 2.207 
11.217 41.295 0.4 0.027 26.488 20.846 -445.51 2.404 
11.159 41.297 0.357 0.029 24.866 20.829 -212.405 5.69 
11.13 41.298 0.335 0.03 24.974 20.483 -269.777 5.015 
11.202 41.299 0.389 0.031 22.933 19.874 -538.866 3.698 
11.136 41.302 0.339 0.033 24.392 20.366 -313.894 4.676 
11.186 41.303 0.376 0.034 22.84 20.018 -439.857 7.555 
11.17 41.304 0.364 0.035 29.2 20.886 -281.36 11.755 
11.14 41.307 0.342 0.039 23.735 20.102 -354.831 7.94 
11.205 41.308 0.391 0.04 24.871 20.277 -216.356 4.251 
11.16 41.309 0.357 0.041 25.019 20.854 -335.132 7.656 
11.16 41.312 0.357 0.044 26.245 20.161 -52.544 11.947 
11.179 41.314 0.371 0.045 23.774 19.722 57.932 5.863 
11.182 41.315 0.374 0.046 23.686 20.478 -372.936 5.342 
11.136 41.317 0.339 0.048 25.123 20.618 -39.472 5.969 
11.137 41.321 0.34 0.053 25.815 20.277 -246.667 5.644 
11.18 41.323 0.372 0.055 21.501 18.692 -270.58 0.898 
11.152 41.329 0.351 0.061 23.88 19.499 -235.832 4.642 
11.176 41.338 0.369 0.069 23.644 20.079 -248.833 5.166 
11.195 41.338 0.384 0.07 23.055 19.944 -247.7 5.207 
11.176 41.342 0.37 0.073 24.216 20.474 -393.878 6.586 
11.183 41.342 0.375 0.074 24.322 19.249 -290.055 0.797 
11.121 41.26 0.328 -0.009 23.118 19.756 9.139 2.496 
11.114 41.26 0.323 -0.009 25.087 20.213 -450.467 4.397 
11.078 41.263 0.296 -0.005 24.226 19.552 -319.067 3.169 
11.152 41.264 0.351 -0.004 23.832 19.711 -301.422 1.754 
11.166 41.269 0.362 0.001 24.31 20.064 -322.914 0.629 
11.076 41.272 0.294 0.004 23.389 19.672 -526.979 4.048 
11.198 41.285 0.386 0.017 24.346 20.348 -302.441 5.465 
11.141 41.292 0.343 0.024 23.526 19.726 -313.593 2.225 
11.161 41.293 0.358 0.025 25.236 20.686 -256.26 10.084 
11.166 41.302 0.362 0.034 23.919 20.397 -268.856 2.7 
11.11 41.303 0.32 0.035 24.954 20.532 -250.023 5.275 
11.178 41.308 0.37 0.04 23.091 20.394 -158.257 5.977 
11.132 41.31 0.336 0.042 24.72 20.305 -263.059 3.444 
11.108 41.311 0.319 0.042 23.042 19.973 3.706 4.701 
11.114 41.32 0.323 0.052 22.105 20.17 -299.251 2.154 
11.204 41.323 0.39 0.055 23.314 20.394 -249.864 3.313 
11.122 41.323 0.329 0.055 26.329 21.129 -325.659 4.666 
11.122 41.326 0.329 0.057 25.27 20.059 -260.381 2.254 
11.15 41.326 0.35 0.058 24.534 19.629 -239.393 3.162 
11.118 41.329 0.326 0.061 24.573 20.732 -250.947 7.082 
11.203 41.33 0.39 0.062 23.231 19.521 -29.014 2.518 
11.196 41.332 0.385 0.064 23.458 20.405 -92.918 3.937 
11.177 41.335 0.37 0.067 22.548 20.141 3.767 3.094 
11.188 41.335 0.378 0.067 21.715 19.812 -166.221 3.669 
11.16 41.34 0.357 0.072 25.115 20.375 -143.465 2.611 
11.224 41.344 0.406 0.076 22.421 20.146 -64.888 3.616 
11.152 41.347 0.351 0.079 23.914 20.376 -380.381 4.56 
11.204 41.347 0.39 0.079 24.955 20.737 -209.173 3.745 
11.206 41.348 0.392 0.08 22.587 19.21 -275.95 0.334 
11.181 41.35 0.373 0.082 23.627 20.076 -255.623 5.995 
11.173 41.36 0.367 0.092 23.339 18.975 -209.415 1.769 
11.246 41.363 0.422 0.095 22.829 19.983 -188.714 2.332 
11.26 41.365 0.432 0.097 22.391 20.061 -413.579 -299800.0 
11.22 41.366 0.402 0.098 23.422 20.217 -204.323 2.53 
11.17 41.367 0.365 0.098 22.811 19.826 -218.493 2.701 
11.18 41.367 0.372 0.099 23.823 18.989 -233.608 1.393 
11.225 41.367 0.406 0.099 24.838 20.322 -225.765 0.506 
11.181 41.367 0.373 0.099 24.104 19.973 -245.454 2.316 
11.263 41.371 0.434 0.103 24.533 20.025 -362.131 5.822 
11.177 41.371 0.37 0.103 22.4 19.897 -202.551 1.731 
11.265 41.372 0.436 0.104 25.334 20.084 -215.869 2.593 
11.248 41.374 0.423 0.106 24.735 20.419 -254.187 3.15 
11.203 41.374 0.389 0.106 24.936 20.24 -234.457 2.617 
11.277 41.375 0.445 0.107 24.764 19.824 -165.454 8.273 
11.277 41.375 0.445 0.107 24.764 19.824 -212.04 8.469 
11.251 41.377 0.425 0.109 22.461 19.719 -194.037 3.007 
11.298 41.38 0.461 0.113 25.827 20.79 -163.213 3.596 
11.252 41.382 0.426 0.114 23.686 20.281 -66.001 4.457 
11.308 41.383 0.468 0.115 24.697 20.482 -284.526 5.41 
11.256 41.386 0.429 0.118 23.44 20.158 -239.476 2.406 
11.234 41.39 0.413 0.122 23.42 20.518 -224.098 2.463 
11.226 41.391 0.407 0.123 24.371 20.036 -199.655 0.555 
11.262 41.394 0.434 0.126 26.162 20.899 -479.085 3.34 
11.235 41.394 0.414 0.126 24.06 20.58 -453.917 5.23 
11.194 41.395 0.382 0.126 24.133 19.985 -213.605 2.496 
11.236 41.395 0.414 0.127 21.858 19.76 -57.875 2.745 
11.322 41.398 0.479 0.13 23.454 20.524 -126.053 5.356 
11.306 41.4 0.467 0.133 25.539 20.901 9.75 5.394 
11.249 41.401 0.424 0.133 23.736 19.466 -243.391 1.866 
11.262 41.405 0.433 0.137 25.191 20.383 -205.172 16.113 
11.285 41.406 0.451 0.138 23.997 19.941 -229.619 2.509 
11.282 41.41 0.449 0.143 24.815 19.654 -241.342 1.702 
11.317 41.414 0.475 0.147 22.569 20.295 -113.527 4.915 
11.296 41.422 0.459 0.155 25.283 20.787 -228.13 4.421 
11.221 41.423 0.403 0.155 23.629 20.141 -173.261 7.615 
11.265 41.424 0.436 0.157 25.608 20.044 9.094 2.403 
11.327 41.426 0.482 0.158 23.129 19.665 -235.41 2.858 
11.3 41.426 0.462 0.158 24.211 20.113 -254.164 3.892 
11.272 41.431 0.441 0.163 24.233 20.284 -226.637 3.436 
11.334 41.435 0.488 0.168 23.33 19.453 -53.585 3.313 
11.266 41.437 0.437 0.169 23.623 18.634 -204.355 3.694 
11.266 41.445 0.437 0.177 24.447 19.321 -212.36 6.961 
11.332 41.446 0.486 0.178 24.465 20.311 -224.721 4.752 
11.258 41.456 0.43 0.188 23.457 20.084 -234.217 4.444 
11.334 41.458 0.487 0.19 22.628 19.549 -222.361 1.581 
11.294 41.458 0.457 0.19 22.185 20.29 -55.67 5.45 
11.286 41.472 0.451 0.204 24.353 20.201 -173.306 9.123 
11.288 41.478 0.453 0.21 25.925 20.372 -98.611 5.264 
11.154 41.368 0.352 0.099 22.931 19.991 -230.673 3.728 
11.145 41.369 0.346 0.101 22.808 20.502 -79.09 31.523 
11.166 41.377 0.362 0.108 24.947 20.619 -258.312 6.449 
11.177 41.377 0.37 0.109 24.471 19.796 -338.918 7.43 
11.202 41.378 0.389 0.109 24.527 19.861 -246.595 6.081 
11.203 41.387 0.389 0.119 24.393 20.323 -269.717 8.033 
11.199 41.388 0.387 0.119 26.902 20.629 -193.97 13.369 
11.177 41.391 0.37 0.123 23.462 19.729 -518.577 10.911 
11.217 41.394 0.4 0.126 24.71 20.286 -338.473 9.439 
11.16 41.394 0.357 0.126 25.554 20.039 -424.356 12.777 
11.228 41.397 0.408 0.129 25.238 19.867 -125.325 1.468 
11.21 41.4 0.394 0.132 23.012 20.106 -254.346 3.858 
11.186 41.4 0.377 0.132 22.047 19.607 -32.862 3.708 
11.176 41.401 0.369 0.133 25.037 20.337 -294.439 7.028 
11.151 41.404 0.35 0.135 22.866 19.479 -216.358 1.922 
11.136 41.406 0.339 0.138 22.952 19.505 -216.238 3.67 
11.218 41.408 0.401 0.14 22.129 20.278 -165.084 7.557 
11.226 41.412 0.407 0.143 20.669 17.498 -211.935 0.561 
11.171 41.413 0.365 0.145 22.519 19.262 -147.552 1.218 
11.177 41.415 0.37 0.146 24.561 19.75 -227.516 4.117 
11.229 41.415 0.409 0.147 26.135 20.791 -188.346 5.897 
11.178 41.417 0.37 0.149 23.593 19.367 -203.553 4.017 
11.165 41.422 0.361 0.154 23.721 20.414 -203.914 10.966 
11.208 41.426 0.393 0.158 23.61 19.942 -210.814 4.117 
11.154 41.428 0.352 0.159 23.762 19.972 -182.742 3.002 
11.168 41.432 0.363 0.164 27.823 21.04 -203.877 16.75 
11.2 41.433 0.387 0.165 21.896 19.679 -50.42 3.432 
11.168 41.433 0.363 0.165 22.518 17.503 -210.149 0.545 
11.176 41.436 0.369 0.167 24.195 19.766 -273.26 3.083 
11.232 41.439 0.411 0.171 24.802 19.714 -256.729 3.214 
11.179 41.44 0.371 0.172 21.453 18.64 -172.118 0.878 
11.177 41.441 0.37 0.173 20.789 17.561 -181.661 0.459 
11.196 41.441 0.384 0.173 24.838 19.691 -47.911 3.581 
11.191 41.448 0.38 0.18 22.012 20.26 -186.087 3.131 
11.206 41.449 0.391 0.181 25.354 19.971 -55.241 6.897 
11.129 41.453 0.333 0.185 22.133 19.752 -218.47 3.06 
11.175 41.462 0.368 0.193 23.974 19.51 -190.005 0.451 
11.198 41.464 0.386 0.195 24.853 20.224 -130.169 4.946 
11.184 41.465 0.375 0.197 22.219 19.394 -174.473 1.354 
11.156 41.466 0.354 0.197 22.229 18.988 -228.591 1.259 
11.152 41.466 0.351 0.198 22.388 19.489 -59.458 4.5 
11.171 41.467 0.365 0.198 25.706 20.693 -111.469 5.509 
11.192 41.474 0.381 0.206 21.376 18.628 -167.178 0.659 
11.141 41.475 0.343 0.207 22.494 19.541 -324.215 8.432 
11.172 41.48 0.366 0.212 24.646 20.666 -110.038 5.644 
11.15 41.482 0.349 0.214 24.447 19.61 -210.74 3.184 
11.16 41.484 0.356 0.216 24.677 20.301 -249.71 6.686 
11.181 41.485 0.372 0.216 23.92 19.595 -222.773 -299800.0 
11.196 41.486 0.384 0.217 23.377 20.171 -154.846 4.301 
11.142 41.488 0.344 0.22 23.162 20.167 -191.64 3.19 
11.153 41.489 0.351 0.22 26.105 20.34 -141.495 4.702 
11.194 41.49 0.383 0.222 21.891 19.23 -188.87 0.869 
11.142 41.492 0.344 0.223 22.342 19.484 -192.623 1.623 
11.169 41.494 0.364 0.226 22.259 19.578 -218.345 2.599 
11.168 41.505 0.363 0.237 23.46 19.717 -239.591 4.372 
11.186 41.511 0.376 0.243 23.014 19.822 -198.61 2.052 
11.169 41.513 0.363 0.245 22.833 20.344 -183.927 2.596 
11.182 41.514 0.374 0.245 25.022 19.935 -51.777 10.588 
11.168 41.516 0.363 0.248 25.182 19.673 -0.211 2.638 
11.137 41.518 0.339 0.25 23.331 18.916 -79.133 1.533 
11.186 41.52 0.376 0.251 23.878 20.072 -184.063 6.151 
11.167 41.521 0.362 0.252 24.822 19.988 53.201 3.826 
11.147 41.522 0.347 0.254 22.977 19.778 -299.138 0.59 
11.164 41.523 0.36 0.255 22.114 19.563 -102.067 1.402 
11.179 41.529 0.371 0.26 22.915 18.733 -170.055 1.542 
11.177 41.53 0.37 0.262 22.396 20.373 -176.56 2.799 
11.177 41.531 0.37 0.262 25.999 20.812 -209.976 10.845 
11.175 41.533 0.368 0.265 24.521 19.712 -55.138 15.261 
11.142 41.534 0.343 0.266 21.842 19.302 -68.605 1.45 
11.156 41.539 0.354 0.27 22.717 20.176 -175.548 13.241 
11.157 41.542 0.355 0.273 27.197 20.917 -9.773 23.314 
11.13 41.547 0.334 0.278 24.706 20.394 -388.454 3.539 
11.169 41.547 0.363 0.279 22.212 20.354 -47.648 3.366 
11.148 41.553 0.348 0.285 25.489 20.056 -163.542 9.239 
11.137 41.559 0.339 0.291 23.216 20.469 -391.489 12.066 
11.15 41.559 0.349 0.29 27.14 20.936 -121.887 9.231 
11.136 41.561 0.339 0.293 22.239 20.019 -74.019 2.462 
11.184 41.567 0.374 0.298 23.695 19.993 -75.235 6.765 
11.117 41.58 0.325 0.312 25.987 20.608 -218.803 7.832 
11.185 41.584 0.375 0.316 22.926 20.388 -14.387 7.228 
11.129 41.599 0.333 0.33 23.064 19.107 -87.563 4.106 
11.193 41.604 0.381 0.336 26.237 21.006 -307.263 12.233 
11.164 41.622 0.359 0.353 25.623 20.045 -27.58 12.809 
11.11 41.624 0.319 0.355 23.832 19.886 -41.411 4.519 
11.14 41.633 0.341 0.365 27.833 21.602 -52.26 19.034 
11.082 41.194 0.299 -0.074 23.656 20.034 -240.519 8.804 
11.126 41.195 0.332 -0.074 23.525 20.085 -236.805 10.041 
11.104 41.195 0.315 -0.073 24.583 19.469 -239.868 2.991 
11.136 41.196 0.339 -0.072 22.926 19.635 -31.91 15.082 
11.131 41.198 0.336 -0.071 24.274 20.405 -207.908 10.673 
11.087 41.198 0.303 -0.071 26.272 20.678 -76.583 11.035 
11.119 41.202 0.326 -0.066 23.727 20.596 -196.1 11.471 
11.049 41.204 0.274 -0.065 22.741 19.757 24.045 7.266 
11.134 41.207 0.338 -0.061 25.367 19.912 -344.644 2.614 
11.13 41.211 0.335 -0.058 25.378 20.411 -220.541 9.024 
11.074 41.215 0.292 -0.053 24.649 19.751 -326.169 18.574 
11.129 41.218 0.334 -0.051 25.351 20.246 77.647 8.032 
11.076 41.22 0.295 -0.049 26.087 20.272 -343.854 9.812 
11.115 41.221 0.324 -0.047 23.465 19.935 -254.551 8.292 
11.111 41.224 0.32 -0.044 23.267 20.07 -239.22 14.606 
11.106 41.231 0.317 -0.037 24.427 20.108 -246.066 5.927 
11.122 41.25 0.329 -0.019 25.586 20.535 -277.741 7.093 
11.03 41.256 0.26 -0.012 21.644 19.054 -268.981 4.319 
11.02 41.272 0.252 0.003 25.002 20.322 -259.709 4.445 
11.072 41.281 0.291 0.013 25.147 20.498 -28.28 8.576 
11.102 41.282 0.314 0.014 23.746 19.5 -269.4 2.257 
11.032 41.283 0.261 0.015 25.79 20.934 164.839 19.458 
11.082 41.295 0.299 0.026 25.068 20.8 259.81 15.335 
11.085 41.313 0.301 0.044 20.103 18.304 -269.583 7.044 
11.01 41.338 0.245 0.069 21.906 18.51 -283.598 3.613 
10.992 41.342 0.231 0.073 23.745 20.515 -598.733 10.655 
10.995 41.346 0.233 0.078 23.267 19.783 -243.969 7.558 
11.035 41.352 0.263 0.083 23.779 19.472 -230.499 7.792 
10.992 41.354 0.231 0.085 21.083 17.025 -240.449 1.477 
11.0 41.36 0.237 0.091 23.058 19.795 -268.304 7.298 
11.064 41.363 0.285 0.094 22.052 19.367 -236.67 4.382 
11.053 41.364 0.277 0.095 24.762 19.932 -408.042 7.985 
10.979 41.368 0.221 0.099 21.717 19.162 -428.368 8.712 
11.047 41.368 0.272 0.099 27.901 21.76 -51.227 21.323 
10.995 41.384 0.233 0.115 22.836 19.685 -166.752 16.179 
10.971 41.384 0.215 0.115 25.115 20.36 -278.07 16.876 
11.035 41.385 0.263 0.117 24.356 19.934 -180.837 7.509 
11.016 41.387 0.249 0.118 22.266 19.816 -197.426 6.913 
10.995 41.393 0.233 0.125 24.956 20.137 -209.173 8.254 
10.989 41.395 0.229 0.126 22.688 19.314 -178.797 11.866 
10.996 41.402 0.234 0.133 25.322 20.228 -223.11 12.443 
11.045 41.402 0.271 0.134 23.366 19.818 -324.002 7.759 
11.031 41.407 0.26 0.139 23.002 19.175 -190.2 5.156 
11.014 41.411 0.247 0.142 23.633 19.647 -232.396 14.085 
10.995 41.413 0.233 0.144 22.919 19.484 -147.718 8.339 
10.966 41.415 0.212 0.146 21.361 18.738 -178.571 2.737 
10.966 41.415 0.211 0.146 24.213 20.265 -284.537 -299800.0 
10.994 41.434 0.232 0.165 26.105 19.832 -216.515 1.489 
11.003 41.448 0.239 0.179 22.276 19.243 -120.551 5.442 
11.43 41.571 0.559 0.305 25.559 20.813 -127.914 6.122 
11.438 41.573 0.565 0.306 23.696 20.082 -155.608 4.221 
11.466 41.575 0.586 0.308 26.918 20.979 -139.998 3.888 
11.471 41.576 0.59 0.31 22.977 20.025 -223.107 6.607 
11.438 41.582 0.565 0.315 25.645 19.912 -192.079 3.641 
11.445 41.585 0.57 0.318 23.554 20.412 -137.843 10.266 
11.463 41.588 0.584 0.321 26.47 21.191 -214.425 3.899 
11.411 41.593 0.545 0.326 24.261 20.417 -134.101 6.965 
11.504 41.593 0.615 0.327 22.104 20.329 -45.901 5.243 
11.489 41.594 0.604 0.327 25.504 20.384 -145.868 4.36 
11.411 41.602 0.545 0.335 24.619 20.409 -213.048 5.23 
11.484 41.603 0.599 0.336 22.446 19.606 -137.81 2.244 
11.462 41.604 0.583 0.337 24.307 20.119 -184.189 3.398 
11.512 41.609 0.62 0.343 23.308 19.541 -18.467 2.345 
11.489 41.613 0.603 0.347 24.647 19.923 -159.679 2.208 
11.46 41.615 0.581 0.348 25.259 20.918 -25.383 6.441 
11.493 41.625 0.606 0.359 25.172 20.406 -186.749 4.841 
11.456 41.626 0.579 0.359 21.614 19.08 -200.379 0.967 
11.494 41.626 0.607 0.36 25.626 20.081 -124.653 3.057 
11.444 41.63 0.569 0.363 23.448 19.863 -168.039 4.439 
11.496 41.637 0.608 0.371 25.515 20.78 -198.774 9.668 
11.444 41.64 0.569 0.374 24.668 20.16 -173.989 6.118 
11.439 41.64 0.565 0.374 25.704 20.556 -110.107 2.81 
11.454 41.645 0.577 0.378 25.946 20.797 -128.06 10.515 
11.489 41.645 0.603 0.378 25.354 20.141 -81.516 2.734 
11.455 41.65 0.578 0.383 25.147 20.326 -134.189 7.464 
11.5 41.652 0.611 0.385 24.827 20.022 -0.849 2.905 
11.45 41.652 0.574 0.385 24.329 20.521 -141.267 0.944 
11.515 41.654 0.623 0.388 25.441 20.026 -123.374 2.38 
11.45 41.655 0.574 0.389 25.243 20.388 -19.057 12.681 
11.48 41.664 0.596 0.398 23.004 20.049 -24.425 3.86 
11.469 41.668 0.588 0.401 25.16 20.667 -150.801 4.102 
11.441 41.684 0.567 0.417 25.26 19.905 -31.12 2.122 
11.49 41.686 0.604 0.42 22.403 19.559 -297.268 3.229 
11.445 41.691 0.57 0.425 25.759 20.467 -30.671 3.24 
11.446 41.694 0.571 0.427 24.076 20.558 -167.015 3.577 
11.469 41.694 0.588 0.428 27.577 20.918 -321.918 20.457 
11.473 41.696 0.591 0.429 24.412 20.238 -180.318 2.785 
11.516 41.702 0.623 0.436 23.835 19.835 -162.487 0.471 
11.525 41.704 0.63 0.438 22.189 20.026 -194.899 1.691 
11.479 41.709 0.595 0.442 25.718 20.129 -97.812 2.733 
11.529 41.709 0.633 0.443 24.822 20.564 -114.895 4.784 
11.47 41.709 0.589 0.442 21.538 17.837 -154.604 0.793 
11.536 41.713 0.638 0.446 24.507 20.395 -255.15 5.118 
11.486 41.714 0.601 0.447 24.293 20.599 -105.26 3.276 
11.466 41.714 0.586 0.447 25.845 20.381 -31.288 2.776 
11.49 41.715 0.604 0.449 21.452 18.79 -125.201 0.738 
11.519 41.719 0.625 0.453 24.529 20.07 -134.644 3.26 
11.528 41.721 0.632 0.455 25.806 20.716 -107.354 2.995 
11.536 41.724 0.638 0.457 24.22 20.491 -508.878 5.399 
11.521 41.73 0.627 0.464 26.154 20.91 -126.94 4.337 
11.464 41.734 0.584 0.467 25.489 20.835 -150.566 4.315 
11.471 41.735 0.589 0.469 24.315 20.587 -142.575 6.662 
11.5 41.736 0.611 0.469 25.281 20.731 -155.288 5.818 
11.557 41.74 0.653 0.474 25.649 20.505 -100.802 4.19 
11.507 41.741 0.616 0.475 23.789 19.901 -32.361 4.028 
11.485 41.741 0.6 0.475 25.032 20.538 -84.083 4.496 
11.555 41.745 0.652 0.479 24.969 20.856 -34.953 5.235 
11.518 41.746 0.625 0.48 24.96 20.576 -123.949 6.304 
11.487 41.746 0.601 0.48 23.405 19.604 -137.798 2.796 
11.509 41.753 0.617 0.486 24.762 20.191 -114.22 3.202 
11.517 41.76 0.624 0.494 24.115 20.399 -97.562 4.334 
11.534 41.764 0.637 0.498 24.251 20.684 -325.57 6.34 
11.491 41.764 0.604 0.498 24.179 19.736 -102.324 3.952 
11.537 41.768 0.638 0.502 23.337 19.698 3.89 3.486 
11.531 41.771 0.634 0.505 22.494 20.036 -144.464 2.073 
11.528 41.8 0.631 0.534 23.388 19.536 -45.502 2.962 
11.508 41.834 0.616 0.568 24.896 19.77 -117.288 0.964 
11.323 41.621 0.479 0.354 25.302 20.538 -251.38 9.853 
11.368 41.633 0.512 0.366 23.522 19.971 -84.409 10.171 
11.416 41.634 0.549 0.367 21.202 18.509 -154.958 0.766 
11.344 41.656 0.494 0.389 23.257 19.253 -165.846 1.524 
11.402 41.662 0.538 0.395 25.994 20.453 -117.591 10.564 
11.376 41.673 0.519 0.405 22.44 19.756 -4.704 3.098 
11.411 41.692 0.545 0.424 23.19 19.21 -36.302 2.552 
11.422 41.711 0.552 0.444 23.003 20.447 -164.367 4.176 
11.471 41.735 0.589 0.469 24.315 20.587 -125.928 4.963 
11.393 41.738 0.53 0.471 23.051 20.04 -93.076 2.18 
11.441 41.744 0.566 0.477 24.712 19.993 -154.208 2.982 
11.403 41.75 0.538 0.483 24.075 20.446 -79.741 3.407 
11.392 41.752 0.53 0.485 23.62 20.412 -87.339 3.676 
11.491 41.754 0.604 0.488 23.368 20.347 -104.619 0.648 
11.423 41.756 0.553 0.489 23.938 20.553 -4.646 7.189 
11.454 41.756 0.576 0.49 23.272 20.114 -38.444 3.944 
11.454 41.76 0.577 0.493 26.061 20.583 34.405 8.76 
11.426 41.763 0.556 0.496 25.208 19.981 -34.629 1.763 
11.502 41.764 0.612 0.498 24.143 20.165 -65.32 4.228 
11.46 41.766 0.581 0.5 25.164 20.39 -81.31 3.622 
11.442 41.77 0.567 0.503 24.759 20.36 -88.124 3.56 
11.515 41.77 0.622 0.504 25.434 20.417 -136.578 3.723 
